nombre_libro,genero,editorial,año,isbn,idioma,numero_paginas,average_rating
LA CASA DE BERNARDA ALBA,"Poesía, teatro",AUSTRAL,2010,9788467033328,Español,127,NULL
,,,,,,,
EN BUSCA DEL UNICORNIO,Histórica y aventuras,PLANETA,2007,9788408071747,Español,317,NULL
,,,,,,,
YERMA,"Poesía, teatro",AUSTRAL,2011,9788467033632,Español,111,NULL
,,,,,,,
BODAS DE SANGRE,"Poesía, teatro",AUSTRAL,2010,9788467033397,Español,192,NULL
,,,,,,,
TUAREG,Histórica y aventuras,DEBOLSILLO,2003,9788497592796,Español,256,1
,,,,,,,
LOS AIRES DIFÍCILES,Ficción literaria,TUSQUETS,2007,9788483835005,Español,793,5
,,,,,,,
DEL AMOR Y OTROS DEMONIOS,Literatura contemporánea,DEBOLSILLO,2003,9788497592420,Español,192,4
,,,,,,,
RIMAS Y LEYENDAS,Clásicos de la literatura,PENGUIN,2016,9788466317962,Español,365,5
,,,,,,,
EL CAMINO,Literatura contemporánea,ESPASA,2006,9788467023664,Español,200,NULL
,,,,,,,
LAS RATAS,Literatura contemporánea,DESTINO,2010,9788423343409,Español,164,NULL
,,,,,,,
LA SONRISA ETRUSCA,Narrativa,DESTINO,2011,9788423343928,Español,336,NULL
,,,,,,,
TRAVESURAS DE LA NIÑA MALA,Narrativa,PUNTO DE LECTURA,2008,9788466319935,Español,1126,NULL
,,,,,,,
NIEBLA,Clásicos de la literatura,ESPASA,2010,9788467033861,Español,254,5
,,,,,,,
CIENFUEGOS,Histórica y aventuras,DEBOLSILLO,2005,9788497595766,Español,256,5
,,,,,,,
ROMANCERO GITANO,"Poesía, teatro",AUSTRAL,2011,9788467036152,Español,NULL,NULL
,,,,,,,
LA CASA DE LOS ESPÍRITUS,Narrativa,DEBOLSILLO,2009,9788483462034,Español,NULL,2
,,,,,,,
DON QUIJOTE DE LA MANCHA,Clásicos de la literatura,ESPASA,2007,9788467024807,Español,NULL,NULL
,,,,,,,
EL ALEPH,Narrativa,ALIANZA,2003,9788420633114,Español,203,4
,,,,,,,
CAMPOS DE CASTILLA,"Poesía, teatro",ALIANZA,2006,9788420660554,Español,140,NULL
,,,,,,,
HISTORIAS DE CRONOPIOS Y DE FAMAS,Narrativa,EDHASA,2010,9788435018678,Español,149,NULL
,,,,,,,
LA TREGUA,"Poesía, teatro",ALIANZA,2011,9788420650852,Español,132,5
,,,,,,,
CIEN AÑOS DE SOLEDAD,Literatura contemporánea,ALFAGUARA,2007,9788420471839,Español,494,NULL
